year,borough,category,rent
2012,City of London,One Bedroom,1688
2012,Barking and Dagenham,One Bedroom,685
2012,Barnet,One Bedroom,970
2012,Bexley,One Bedroom,657
2012,Brent,One Bedroom,1037
2012,Bromley,One Bedroom,748
2012,Camden,One Bedroom,1488
2012,Croydon,One Bedroom,736
2012,Ealing,One Bedroom,987
2012,Enfield,One Bedroom,813
2012,Greenwich,One Bedroom,791
2012,Hackney,One Bedroom,1233
2012,Hammersmith and Fulham,One Bedroom,1213
2012,Haringey,One Bedroom,1001
2012,Harrow,One Bedroom,849
2012,Havering,One Bedroom,676
2012,Hillingdon,One Bedroom,773
2012,Hounslow,One Bedroom,967
2012,Islington,One Bedroom,1332
2012,Kensington and Chelsea,One Bedroom,1874
2012,Kingston upon Thames,One Bedroom,880
2012,Lambeth,One Bedroom,1094
2012,Lewisham,One Bedroom,828
2012,Merton,One Bedroom,990
2012,Newham,One Bedroom,818
2012,Redbridge,One Bedroom,752
2012,Richmond upon Thames,One Bedroom,995
2012,Southwark,One Bedroom,1078
2012,Sutton,One Bedroom,708
2012,Tower Hamlets,One Bedroom,1241
2012,Waltham Forest,One Bedroom,789
2012,Wandsworth,One Bedroom,1143
2012,Westminster,One Bedroom,1713
2012,City of London,Two Bedroom,2223
2012,Barking and Dagenham,Two Bedroom,852
2012,Barnet,Two Bedroom,1269
2012,Bexley,Two Bedroom,815
2012,Brent,Two Bedroom,1381
2012,Bromley,Two Bedroom,991
2012,Camden,Two Bedroom,2006
2012,Croydon,Two Bedroom,918
2012,Ealing,Two Bedroom,1308
2012,Enfield,Two Bedroom,1069
2012,Greenwich,Two Bedroom,1070
2012,Hackney,Two Bedroom,1473
2012,Hammersmith and Fulham,Two Bedroom,1664
2012,Haringey,Two Bedroom,1266
2012,Harrow,Two Bedroom,1076
2012,Havering,Two Bedroom,844
2012,Hillingdon,Two Bedroom,994
2012,Hounslow,Two Bedroom,1255
2012,Islington,Two Bedroom,1779
2012,Kensington and Chelsea,Two Bedroom,2731
2012,Kingston upon Thames,Two Bedroom,1156
2012,Lambeth,Two Bedroom,1391
2012,Lewisham,Two Bedroom,1040
2012,Merton,Two Bedroom,1290
2012,Newham,Two Bedroom,1015
2012,Redbridge,Two Bedroom,973
2012,Richmond upon Thames,Two Bedroom,1359
2012,Southwark,Two Bedroom,1414
2012,Sutton,Two Bedroom,910
2012,Tower Hamlets,Two Bedroom,1604
2012,Waltham Forest,Two Bedroom,981
2012,Wandsworth,Two Bedroom,1462
2012,Westminster,Two Bedroom,2577
