borough,population,rent,crime
City of London,0,0,0
Barking and Dagenham,218828,1422,69077
Barnet,390590,1894,78455
Bexley,246622,1293,53221
Brent,347424,1869,101052
Bromley,331192,1543,71663
Camden,217136,3254,77271
Croydon,390643,1450,112694
Ealing,367284,1871,101822
Enfield,335151,1702,85305
Greenwich,288205,1674,90908
Hackney,265825,2446,90842
Hammersmith and Fulham,188562,2674,59853
Haringey,273716,1960,85508
Harrow,262065,1621,50138
Havering,261296,1356,60288
Hillingdon,305641,1470,84863
Hounslow,289652,1681,85350
Islington,221994,2420,75643
Kensington and Chelsea,146805,5054,45936
Kingston upon Thames,169797,1693,35568
Lambeth,329513,2280,106557
Lewisham,305906,1687,94949
Merton,217219,1867,44136
Newham,349786,1688,106066
Redbridge,311780,1564,72896
Richmond upon Thames,198185,2205,32457
Southwark,312591,2088,99039
Sutton,208516,1489,43975
Tower Hamlets,305066,2350,98,670
Waltham Forest,281015,1653,76820
Wandsworth,334558,2194,75113
Westminster,208415,4181,113482
